TEAM,2024 Power,2024 RP%,2024 RR,2024 TPR,2024 SOS,2023 Power
Air Force,-0.982342339,-2.707359316,-2.902856546,-2.021117109,1.297425435,0.484836043
Akron,-1.471733043,-0.446774990,-0.743781569,-0.627818841,-0.311382104,-1.738443581
Alabama,1.914534891,-1.173391381,2.300385665,2.382930295,-1.219579909,1.875396390
App State,-0.698179995,0.764252327,-0.517577250,-0.533503266,0.882249296,0.315058327
Arizona,-0.279829877,0.602782018,-0.386016819,0.645441422,-0.233536578,1.147777604
Arizona St,0.683164733,0.764252327,0.286805306,0.834685011,-0.726558244,-0.905724303
Arkansas,0.809459109,-1.011921072,0.642398494,0.905115473,-1.115785874,0.290804367
Arkansas St,-0.840261167,0.844987482,-0.283229577,-0.670077118,0.726558244,-0.501491645
Army,0.667377937,-0.931185917,-2.639554719,-2.021117109,0.570867191,-0.315544621
Auburn,0.691058132,0.522046864,1.660679853,0.938187168,-0.882249296,0.622275147
Ball St,-1.621707614,-0.850450763,-0.787936651,-0.931588485,0.622764209,-1.196771818
Baylor,0.604230749,0.602782018,-0.006536454,0.635029963,-0.493021665,-0.663184708
Boise St,0.738418523,0.037635937,-0.043995890,-0.602708850,0.000000000,0.484836043
Boston College,0.035906061,0.683517173,-0.549969709,0.046476277,-0.363279122,-0.469153032
Bowling Green,-0.200895893,-0.850450763,-0.621269310,-0.806038532,0.389227631,-0.622761442
Buffalo,-0.374550659,-2.384418698,-0.777621735,-0.956086037,1.245528418,-1.221025777
BYU,1.148875242,0.522046864,0.345256501,-0.414077700,-0.596815700,-0.258952049
C Michigan,-1.305971676,0.522046864,-0.793908446,-1.380506125,1.582859031,-1.536327251
California,0.256921217,1.167928100,0.119052183,1.282377773,0.103794035,-0.000243147
Charlotte,-1.266504683,0.199106246,-0.253913497,-0.213197774,0.467073157,-1.722274275
Cincinnati,-0.066708119,0.279841400,0.239573844,0.565824378,-0.155691052,-0.541914910
Clemson,0.991007273,0.441311709,1.602228657,-2.021117109,-1.011991839,0.856730089
Coastal Car,-0.603459214,-1.092656226,-0.260609145,-0.520029612,1.427167979,-0.089174332
Colorado,0.580550554,1.087192945,-0.521196519,1.832347815,-0.051897017,-0.388306500
Colorado St,-0.508738432,0.683517173,-0.209396487,-0.900966545,0.259485087,-0.711692627
Duke,0.383215592,-0.285304681,0.005045207,0.538877071,-0.467073157,0.767798905
