TEAM,2024 RP%,2024 RR,2024 TPR,2024 SOS,2023 Power
Air Force,0.214966453,-1.46876784,-0.007189161,0.683871019,-0.982342339
Akron,-0.368513919,-1.543208076,-0.970197241,1.503514798,-1.471733043
Alabama,0.798446825,2.168011274,0.956098498,-1.442080031,1.914534891
App State,-0.868639953,-1.051183021,-0.592067345,1.119306776,-0.698179995
Arizona,1.048509842,0.275458211,0.085910473,-0.289455968,-0.279829877
Arizona St,2.132116248,0.298980218,-0.100009217,-0.161386627,0.683164733
Arkansas,0.298320792,0.716011578,1.338422071,-1.646990976,0.809459109
Arkansas St,-0.618576936,-0.334453611,-0.753523918,0.914395832,-0.840261167
Army,-0.201805242,-1.381598047,-0.007189161,0.683871019,0.667377937
Auburn,0.965155503,1.89266542,2.012905158,-1.339624559,0.691058132
Ball St,-1.785537681,-1.219711288,-0.878635288,1.221762249,-1.621707614
Baylor,1.21521852,0.424615412,0.173977695,-0.545594649,0.604230749
Boise St,1.298572859,-0.080415929,-0.782180712,0.427732338,0.738418523
Boston College,0.798446825,0.091986551,-0.378189806,-0.776119461,0.035906061
Bowling Green,-1.285411647,-0.684239702,-0.6186273,1.016851304,-0.200895893
Buffalo,0.298320792,-0.807107601,-1.415425973,1.60597027,-0.374550659
BYU,0.631738147,0.23699281,-0.636799902,-0.084545023,1.148875242
C Michigan,-0.035096564,-1.398755276,-1.033102399,0.760712623,-1.305971676
California,-0.118450903,0.228414195,0.448663553,-0.058931155,0.256921217
Charlotte,-1.952246358,-1.817447012,-0.558517927,-0.033317287,-1.266504683
Cincinnati,1.21521852,-0.052742979,0.15650404,-0.212614364,-0.066708119
Clemson,2.298824925,0.960640457,-0.959014102,-0.852961066,0.991007273
Coastal Car,-0.535222597,-0.377346684,-0.558517927,0.632643283,-0.603459214
Colorado,-0.28515958,0.528112246,1.17486866,-0.468753044,0.580550554
Colorado St,-0.451868258,-1.16298174,-0.540345326,0.991237436,-0.508738432
Duke,0.381675131,0.553017901,-0.368404559,-0.187000496,0.383215592
E Carolina,-0.785285614,-0.354931595,-0.872344773,0.786326491,-0.137748705
E Michigan,-0.535222597,-0.4966171,-1.059662355,1.426673193,-1.108636714
Florida,1.048509842,1.849495618,-0.958315156,-1.672604844,1.030474265
Florida Atlantic,-0.951994292,-0.638579334,-0.648681987,1.298603853,-1.061276324
